,Crime Type,Subject Count,state,year,url
4,Investment,8,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Lottery/Sweepstakes,20,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Malware/Scareware,5,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Misrepresentation,15,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,No Lead Value,17,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Non-payment/Non-Delivery,564,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Other,25,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Personal Data Breach,107,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Phishing/Vishing/Smishing/Pharming,28,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Ransomware,2,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Re-shipping,3,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Real Estate/Rental,39,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Tech Support,15,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Terrorism,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Virus,1,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Virtual Currency,1,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,419/Overpayment,1,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Advanced Fee,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Auction,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,BEC/EAC,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Charity,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Civil Matter,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Confidence Fraud/Romance,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Corporate Data Breach,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Credit Card Fraud,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Crimes Against Children,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Criminal Forums,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Denial of Service,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Employment,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Extortion,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Gambling,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Government Impersonation,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Hacktivist,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Harassment/Threats of Violence,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Descriptors*,,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Social Media,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Health Care Related,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,IPR/Copyright and Counterfeit,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Identity Theft,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,Investment,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Lottery/Sweepstakes,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Malware/Scareware,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Misrepresentation,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,No Lead Value,1,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Non-payment/Non-Delivery,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Other,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Personal Data Breach,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Phishing/Vishing/Smishing/Pharming,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Ransomware,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Re-shipping,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Real Estate/Rental,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Tech Support,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Terrorism,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Virus,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Virtual Currency,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,419/Overpayment,61,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Advanced Fee,36,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Auction,42,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,BEC/EAC,17,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Charity,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Civil Matter,5,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Confidence Fraud/Romance,29,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Corporate Data Breach,4,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Credit Card Fraud,18,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Crimes Against Children,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Criminal Forums,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Denial of Service,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Employment,38,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Extortion,6,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Gambling,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Government Impersonation,4,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Hacktivist,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Harassment/Threats of Violence,47,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Descriptors*,,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Social Media,55,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Health Care Related,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,IPR/Copyright and Counterfeit,3,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Identity Theft,31,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,Investment,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Lottery/Sweepstakes,11,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Malware/Scareware,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Misrepresentation,11,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,No Lead Value,16,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Non-payment/Non-Delivery,189,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Other,19,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Personal Data Breach,50,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Phishing/Vishing/Smishing/Pharming,13,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Ransomware,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Re-shipping,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Real Estate/Rental,26,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Tech Support,4,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Terrorism,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Virus,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Virtual Currency,1,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,419/Overpayment,"1,165",California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Advanced Fee,981,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Auction,"1,467",California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,BEC/EAC,362,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Charity,31,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Civil Matter,152,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Confidence Fraud/Romance,837,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Corporate Data Breach,141,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Credit Card Fraud,977,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Crimes Against Children,34,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Criminal Forums,3,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Denial of Service,50,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Employment,872,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Extortion,579,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Gambling,5,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Government Impersonation,205,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Hacktivist,3,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Harassment/Threats of Violence,"1,148",California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Descriptors*,,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Social Media,"1,048",California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Health Care Related,24,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,IPR/Copyright and Counterfeit,176,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Identity Theft,734,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,Investment,194,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Lottery/Sweepstakes,313,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Malware/Scareware,109,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Misrepresentation,499,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,No Lead Value,743,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Non-payment/Non-Delivery,"4,329",California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Other,588,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Personal Data Breach,"1,569",California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Phishing/Vishing/Smishing/Pharming,618,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Ransomware,32,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Re-shipping,49,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Real Estate/Rental,934,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Tech Support,491,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Terrorism,15,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Virus,52,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Virtual Currency,93,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,419/Overpayment,233,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Advanced Fee,91,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Auction,88,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,BEC/EAC,51,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Charity,1,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Civil Matter,19,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Confidence Fraud/Romance,90,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Corporate Data Breach,12,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Credit Card Fraud,74,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Crimes Against Children,5,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Criminal Forums,0,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Denial of Service,3,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Employment,178,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Extortion,48,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Gambling,0,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Government Impersonation,24,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Hacktivist,0,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Harassment/Threats of Violence,98,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Descriptors*,,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Social Media,93,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Health Care Related,1,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,IPR/Copyright and Counterfeit,17,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Identity Theft,58,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,Investment,14,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Lottery/Sweepstakes,12,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Malware/Scareware,6,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Misrepresentation,26,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,No Lead Value,67,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Non-payment/Non-Delivery,413,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Other,49,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Personal Data Breach,160,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Phishing/Vishing/Smishing/Pharming,66,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Ransomware,2,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Re-shipping,9,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Real Estate/Rental,216,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Tech Support,19,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Terrorism,0,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Virus,3,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Virtual Currency,1,Colorado,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,419/Overpayment,89,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,Advanced Fee,32,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Auction,116,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,BEC/EAC,26,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Charity,1,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
6,Civil Matter,6,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
7,Confidence Fraud/Romance,31,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
8,Corporate Data Breach,8,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
9,Credit Card Fraud,52,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
10,Crimes Against Children,3,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
11,Criminal Forums,0,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
12,Denial of Service,5,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
13,Employment,80,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
14,Extortion,13,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
15,Gambling,0,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
16,Government Impersonation,6,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
17,Hacktivist,0,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
18,Harassment/Threats of Violence,51,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
19,,,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
20,Descriptors*,,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
21,Social Media,22,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
22,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1,Health Care Related,2,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
2,IPR/Copyright and Counterfeit,8,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
3,Identity Theft,42,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
4,Investment,4,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
5,Lottery/Sweepstakes,4,Connecticut,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
