,Crime Type,Loss Amount,state,year,url
53,Crimes Against Children,4600,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
55,Denial of Service,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
56,Employment,60253,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
57,Extortion,33888,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
59,Government Impersonation,17450,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
61,Harassment/Threats of Violence,100118,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
64,Social Media,299315,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
66,Health Care Related,681,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
67,IPR/Copyright and Counterfeit,267,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
68,Identity Theft,55203,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
69,Investment,88131,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
70,Lottery/Sweepstakes,115068,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
71,Malware/Scareware,690,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
72,Misrepresentation,275427,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
74,Non-payment/Non-Delivery,1428043,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
75,Other,20290,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
76,Personal Data Breach,239354,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
77,Phishing/Vishing/Smishing/Pharming,81931,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
78,Ransomware,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
79,Re-shipping,41,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
80,Real Estate/Rental,133904,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
81,Tech Support,11412,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
83,Virus,0,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
86,Virtual Currency,256,Alabama,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
176,419/Overpayment,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
177,Advanced Fee,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
178,Auction,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
179,BEC/EAC,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
180,Charity,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
181,Civil Matter,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
182,Confidence Fraud/Romance,300,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
183,Corporate Data Breach,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
184,Credit Card Fraud,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
185,Crimes Against Children,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
186,Criminal Forums,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
187,Denial of Service,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
188,Employment,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
189,Extortion,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
190,Gambling,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
191,Government Impersonation,300,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
192,Hacktivist,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
193,Harassment/Threats of Violence,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
194,,,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
195,Descriptors*,,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
196,Social Media,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
197,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
198,Health Care Related,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
199,IPR/Copyright and Counterfeit,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
200,Identity Theft,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
201,Investment,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
202,Lottery/Sweepstakes,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
203,Malware/Scareware,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
204,Misrepresentation,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
205,No Lead Value,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
206,Non-payment/Non-Delivery,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
207,Other,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
208,Personal Data Breach,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
209,Phishing/Vishing/Smishing/Pharming,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
210,Ransomware,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
211,Re-shipping,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
212,Real Estate/Rental,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
213,Tech Support,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
214,Terrorism,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
215,Virus,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
216,,,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
218,Virtual Currency,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
226,Confidence Fraud/Romance,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
235,Government Impersonation,0,American Samoa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
352,419/Overpayment,638910,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
353,Advanced Fee,463390,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
354,Auction,108840,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
355,BEC/EAC,395751,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
356,Charity,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
357,Civil Matter,1136,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
358,Confidence Fraud/Romance,4621207,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
359,Corporate Data Breach,11000,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
360,Credit Card Fraud,59074,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
361,Crimes Against Children,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
362,Criminal Forums,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
363,Denial of Service,10000,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
364,Employment,584736,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
365,Extortion,59987,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
366,Gambling,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
367,Government Impersonation,34917,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
368,Hacktivist,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
369,Harassment/Threats of Violence,942577,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
370,,,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
371,Descriptors*,,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
372,Social Media,2975522,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
373,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
374,Health Care Related,300,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
375,IPR/Copyright and Counterfeit,12587,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
376,Identity Theft,165910,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
377,Investment,77500,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
378,Lottery/Sweepstakes,344622,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
379,Malware/Scareware,1278,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
380,Misrepresentation,104525,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
381,No Lead Value,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
382,Non-payment/Non-Delivery,787181,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
383,Other,238262,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
384,Personal Data Breach,260093,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
385,Phishing/Vishing/Smishing/Pharming,47035,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
386,Ransomware,1000,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
387,Re-shipping,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
388,Real Estate/Rental,206818,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
389,Tech Support,37840,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
390,Terrorism,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
391,Virus,1800,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
392,,,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
394,Virtual Currency,720,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
396,419/Overpayment,57345,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
397,Advanced Fee,161149,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
398,Auction,46742,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
399,BEC/EAC,170132,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
401,Civil Matter,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
402,Confidence Fraud/Romance,920398,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
403,Corporate Data Breach,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
404,Credit Card Fraud,54971,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
407,Denial of Service,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
408,Employment,30547,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
409,Extortion,10600,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
411,Government Impersonation,1450,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
413,Harassment/Threats of Violence,19477,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
416,Social Media,765311,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
418,Health Care Related,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
419,IPR/Copyright and Counterfeit,150,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
420,Identity Theft,68206,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
421,Investment,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
422,Lottery/Sweepstakes,75964,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
423,Malware/Scareware,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
424,Misrepresentation,70281,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
426,Non-payment/Non-Delivery,308059,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
427,Other,13548,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
428,Personal Data Breach,182372,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
429,Phishing/Vishing/Smishing/Pharming,1598,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
430,Ransomware,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
432,Real Estate/Rental,66259,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
433,Tech Support,1200,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
435,Virus,0,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
438,Virtual Currency,250,Arkansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
440,419/Overpayment,7654795,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
441,Advanced Fee,6842054,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
442,Auction,2802864,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
443,BEC/EAC,69208381,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
444,Charity,122703,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
445,Civil Matter,52384827,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
446,Confidence Fraud/Romance,30496552,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
447,Corporate Data Breach,9769361,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
448,Credit Card Fraud,8421491,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
449,Crimes Against Children,2764,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
450,Criminal Forums,7,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
451,Denial of Service,420374,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
452,Employment,5123371,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
453,Extortion,2413243,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
454,Gambling,20491,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
455,Government Impersonation,2220574,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
456,Hacktivist,5000,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
457,Harassment/Threats of Violence,2067650,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
458,,,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
459,Descriptors*,,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
460,Social Media,9169889,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
461,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
462,Health Care Related,32338,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
463,IPR/Copyright and Counterfeit,1946413,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
464,Identity Theft,17862807,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
465,Investment,12656865,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
466,Lottery/Sweepstakes,2890676,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
467,Malware/Scareware,1617528,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
468,Misrepresentation,1762625,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
469,No Lead Value,0,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
470,Non-payment/Non-Delivery,18745947,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
471,Other,20280039,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
472,Personal Data Breach,8808240,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
473,Phishing/Vishing/Smishing/Pharming,11073447,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
474,Ransomware,260331,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
475,Re-shipping,333358,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
476,Real Estate/Rental,6314255,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
477,Tech Support,812196,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
478,Terrorism,72126,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
479,Virus,138831,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
480,,,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
482,Virtual Currency,17208554,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
484,419/Overpayment,2452144,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
485,Advanced Fee,2826614,California,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
